id	filename	md5	size	state
90641dca-4a86-4649-bbd2-ee90f15ee416	lbl.gov_OV.HuEx-1_0-st-v2.27.gene.txt	041336817436c0d957e00be46eeb9596	7348011	live
91a468f1-1318-4a77-9290-abf933f4889e	lbl.gov_LUSC.HuEx-1_0-st-v2.31.FIRMA.txt	689b4ce68e3eb032ea0cfe0a565a18e5	179940629	live
9356a3e7-b135-4dd4-8f3b-02edd4d3aed0	lbl.gov_OV.HuEx-1_0-st-v2.9.gene.txt	370c58febfcb1984cf3ce0850cab849b	16769835	live
a3f5f3b3-7061-4cae-b768-659e912eaf29	lbl.gov_OV.HuEx-1_0-st-v2.13.FIRMA.txt	47aef1b8f9c5c0237f8d3fbbccbc426a	198333814	live
ac33a783-8ac4-49b6-9c14-133d80923cd9	lbl.gov_OV.HuEx-1_0-st-v2.19.gene.txt	2c81150c68a83b3e6853d46588eeb9f9	15827336	live
acc3d0f7-e178-4a9e-8572-23de8e6724a5	lbl.gov_OV.HuEx-1_0-st-v2.18.gene.txt	fdc029c785f721f17b12cf36d3c819d9	15827339	live
b0e439a6-c78c-4aaf-a788-03f0461b5528	lbl.gov_GBM.HuEx-1_0-st-v2.3.FIRMA.txt	5155dccd0a5c1a0750263fc18d532d05	108587657	live
b508aa3c-4ce5-49cb-9152-fce8fd01379b	lbl.gov_OV.HuEx-1_0-st-v2.40.FIRMA.txt	a9bd29ee2109726da8cbb5f6c876bb22	197104705	live
b99adc52-04b8-48cf-a22a-b8c09de46fd5	lbl.gov_OV.HuEx-1_0-st-v2.17.gene.txt	92cae9a14fddfee20600f6006650a661	16456643	live
c9a1679c-ede4-4d48-99b8-ca9c83bd25ec	lbl.gov_GBM.HuEx-1_0-st-v2.2.gene.txt	5c34e77e2d8de7145d512c373a68589a	6403980	live
cbe3d25b-80a2-41b1-be00-232ef7ee1150	lbl.gov_GBM.HuEx-1_0-st-v2.7.gene.txt	200df659560c4326edf56601e1155ae2	7345420	live
cf585359-3a8e-4c26-bb8a-7c9ba1a4e3a1	lbl.gov_OV.HuEx-1_0-st-v2.40.gene.txt	7a5ce22a465b6978cf993671261a05e7	15827387	live
d00c16e3-6c6c-4a3d-acdf-b06d75744a89	lbl.gov_LUSC.HuEx-1_0-st-v2.23.gene.txt	554a05a0d1aeca3752485e28d9b30342	7349657	live
d0e2bb08-50c2-43aa-b4cb-e81673c98215	lbl.gov_GBM.HuEx-1_0-st-v2.3.gene.txt	08aca1b17d4c42f04713344740835152	8916417	live
